#,Category,Gate,Question,Evidence
1.1,Strategic,GATE_2,"Does the Outline Business Case (OBC) articulate a clear and total project scope and continue to demonstrate business need and contribution
to the organisation s business strategy?","_      Continued confirmation that the project will meet business needs (including confirmation that priorities remain unchanged where any external factors might have an effect).
_      Confirmation that the objectives and desired outputs of the project are still aligned with the programme to which it contributes, if appropriate."
1.2,Strategic,GATE_2,"Has a single option been recommended to proceed with in the next stage?
Has the concept been selected and approved by stakeholders?","_      OBC has a clear recommendation for proceeding with one option.
_      Clear evidence of rigorous assessment e.g., piloting.
_      The option aligns to the strategic intent and the project can demonstrate that alignment and that it has been agreed by stakeholders (and their agreement on the overall strategic intent).
_      Evidence of approval by stakeholders."
1.3,Strategic,GATE_2,"Do stakeholders support the project and is the organisation still fully
committed? Do stakeholders support the preferred option (This includes the potential or recommended delivery approach and mechanisms)?","_      Documented involvement of and endorsement by stakeholders.
_      Clear approach for continued consultation, involvement, support and endorsement."
1.4,Strategic,GATE_2,"Are the assumptions, dependencies, risks and issues relating to business change understood? Is there an initial plan to address these issues?","_      Account has been taken of relevant impact assessment and appraisal issues such as Regulatory and Policy Impact, Sustainable Development and Environmental Appraisal.
_      The Project should demonstrate that it has considered the impact it will have on the business and the business change that will be required to deliver the project outcomes.
_      The risk, issues, dependencies and constraints relating to business change should be clearly set out in the Project Risk, Assumptions, Issues and Dependencies (RAID) Log, with plans in place to address them."
1.5,Strategic,GATE_2,"How has policy and strategic alignment, including at
a cross-departmental network, other public sector bodies or system level, been considered for this project and programme?","_      The project should demonstrate:
_      Evidence of continual review of policy and strategic alignment at a cross- departmental network and system level.
_      Evidence of NetZero in the strategic aims of the project, the procurement strategy and implementation, and a clear quantifiable demonstration of the project s contribution to the Government s NetZero target.
_      Evidence that Departmental commitments to the UN SDGs have been considered and incorporated into the project s strategic aims and critical success factors."
1.6,Strategic,GATE_2,"Does the shortlist of options still address the need
(case for change) and is it still compliant with and
contribute to environmental and climate policy objectives (including but not limited to the Climate Change Act 2008 (as amended), the 25 Year Environmental Plan (25 YEP) and Climate Resilience)?","_      Evidence that the shortlisted options are still compliant with and contribute to the most recent climate and environmental legislation, regulation and overall Government policy."
1.7,Strategic,GATE_2,Does the vision and objectives consider social outcomes and have they been endorsed by key stakeholders?,"_      The vision describes the social outcomes of the transformation and defines how the Department will operate.
_      Vision and purpose workshops to create cohesion between team members.
_      The vision is owned by those at the top of the Department or Agency but created by people who represent the breadth of the business. Agreed organisational vision has been approved by the SRO and shared with the wider audience.
_      The vision shows a compelling picture of the future that aligns stakeholders around the purpose of the transformation, the scale of the ambition and the nature of the benefits. The vision reaches a compromise between (short term political aims vs. long term
transformation; external events vs. staying true to the vision; ambitious vs. feasible). Criteria, principles, prioritisation etc., can be traced back through the vision.
_      The vision is articulated in different ways, for example pictures as well as words.
_      The vision is talked about all the time including by the leader of the project/organisation.
It motivates leaders, staff, partners and other stakeholders and allows them to prioritise activities.
_      The vision has been signed off by key stakeholders.
_      To demonstrate that people are motivated and bought into the vision project teams should be able to demonstrate:
_      Case studies from project employees; and
_      Feedback from the project team."
1.8,Strategic,GATE_2,"Has the project embedded the National Infrastructure Commission four recommended design principles?
Carbon emissions mitigation and adaptation to climate change;1. People-based outcomes
and community
engagement;
2. Local identity
and improving
environment; and
3. The realisation of
economic, environmental
and social benefits to
the population.","_      The project has embedded the four recommended design principles as set out by the National Infrastructure Commission.
_      Evidence of how the design principles have been discussed at a senior level and embedded in the project."
2.1,Economic,GATE_2,"Does the project have an approved Greenbook
Compliant Strategic Outline Case (SOC), and draft Outline Business Case (OBC)?","_      The project should have a Greenbook compliant SOC approved by the Dept. Investment Committee and HMT. The project should
also have a draft Greenbook compliant OBC which is in review by the Department Investment Committee.
_      The draft OBC will be assessed along with the other products at the Gate and used by the IPA to provide HMT with a view of the business cases readiness for approval.
_      The Project should demonstrate that of the broad range of options put forward at SOC stage, only one is being taken forward in the OBC.
_      Every business case (strategic case) and Project Execution Document should include a section on scope. This should be baselined and reviewed at each stage gate. Using the same format to demonstrate changes to scope, and the impact on cost and benefit throughout the project lifecycle."
2.2,Economic,GATE_2,"If there are several options, how was their robustness tested?","_      The options analysis considers what is available in the market.
_      The Economic Case shows sensitivity analysis of all appropriate options on key variables e.g. volumetrics, channel shift.
_      Major sensitivities included in the risk register.
_      Interviewees are able to explain how the project has approached option appraisal with an open mind (rather than retrofitting the analysis to pick the already prefered option).
_      Evidence of engagement with key stakeholders."
2.3,Economic,GATE_2,Is the organisation still realistic about its ability to achieve a successful outcome?,"_      Comparison with similar projects (and similar organisations); assessment of past track record in achieving successful change; plans to manage known weaknesses; where applicable, plans for incremental/modular approaches; contingency plans in place.
_      If the project traverses organisational boundaries: there are clear governance arrangements to ensure sustainable alignment with the business objectives of all organisations involved."
2.4,Economic,GATE_2,Are the benefits to be delivered by the project understood and agreed with stakeholders? Is there an initial plan for realising and evaluating benefits?,"_      The project can explain the  good practice  they used to define benefits (including optimism bias).
_      The Project should demonstrate that the benefits strategy, financial and non-financial benefits have been approved by the impacted business areas.
_      Project outputs, outcomes and benefits are clearly aligned.
_      Benefits are clearly stated and consider tangible/intangible and cashable/non-cashable benefits. Note, it may be appropriate to consider disbenefits as well.
_      Initial plan for realising and evaluating the delivery of benefits, e.g. showing costs at each stage offset by improved quality of service and/ or savings over the project s expected life.
_      Critical success factors (CSF) for the project are still valid and agreed with stakeholders.
_      Benefits are  specific,   measurable,   attainable,   relevant,  and  time- bound (SMART).
_      Benefits calculation include the potential impact of macroeconomic factors that could impact them during delivery and the operational life cycle."
