#,Category,Question,Evidence,Gate
1.1,Strategic,Does the project still align with the Outcome Delivery Plan and wider strategy?,"■      The project should demonstrate:
■      Evidence of continual review of policy and strategic alignment at a cross- departmental network and system level.
■      Evidence of NetZero in the strategic aims of the project, the procurement strategy and implementation, and a clear quantifiable demonstration of the
project’s contribution to the Government’s NetZero target.
■      Evidence of continual review of policy and strategic alignment at a cross- departmental network and system level.",GATE_4
1.2,Strategic,Is the buy-in and approval of a defined set of objectives linked to the Departmental strategy?,"■      Evidence benefits are linked to the departmental strategy.
■      Evidence benefits are signed off by the leadership and SRO.",GATE_4
1.3,Strategic,How do the design and build stage performance outcomes compare to the intended outcomes for this stage?,"■      Ensure that the design and build stage outcomes are reflected upon the original planned outcome at the stage in the project. Where different, ensure that lessons have been learned and documented and shared with wider projects where appropriate. If outcomes have changed, the project should demonstrate that the consequences have been understood.",GATE_4
1.4,Strategic,"Has the project embedded
the National Infrastructure
Commission four
recommended design
principles?
Carbon emissions
mitigation and adaptation to
climate change;
People-based outcomes and
community engagement;
Local identity and improving
environment; and
The realisation of economic,
environmental and social
benefits to the population.","■      The project has embedded the four recommended design principles as set out by the National Infrastructure Commission.
■      Evidence of how the design principles have been discussed at a senior level and embedded in the project.",GATE_4
2.1,Economic,Does the project have a Greenbook compliant Full Business Case (FBC) approved by the Department Investment Committee and HM Treasury?,"■      The project should demonstrate tangible evidence that the SRO and the senior leaders in the departments believe in the delivery model.
■      Benefits are thoroughly detailed in the Economic Case with clear evidence of what the project used as a measure e.g. ‘good practice’ to define benefits and a compelling benefits case which includes optimism bias and consideration of macroeconomic factors e.g. inflation.
■      Analysis on non-preferred options is sufficiently rigorous to confirm that these would not offer better value and stakeholders have agreed the cost to end users is affordable.
■      The financial case demonstrates how a whole life view of value (rather than just upfront capex) has informed options appraisal, design, option selection and commercial strategy.
■      The project can demonstrate adequate approaches for estimating, monitoring and controlling the total expenditure.
■      The strategic case is aligned with wider organisational strategy.
■      The management case addresses benefits identification and management.
■      The benefits realisation plan is consistent with the wider project plan (e.g. milestones are aligned).
■      Every business case (strategic case) and Project Execution Document should include a section on scope. This should be baselined and reviewed at each stage gate. Using the same format to demonstrate changes to scope, and the impact on cost and benefit throughout the project lifecycle",GATE_4
2.2,Economic,Is there collaboration with wider internal and external stakeholders on benchmark driven performance and productivity improvement?,"■      Industry wide meetups happen regularly to share and collaborate on benchmark driven performance and productivity improvement.
■      Comms from industry wide meetups are shared with the wider team to benchmark performance and enhance productivity improvement.
■      There are regular events/benchmarking ‘clubs’ with related digital platforms used for sharing common frameworks and standards.",GATE_4
2.3,Economic,"Does the project have a fully- costed, robust evaluation plan to assess whether the project is successfully delivering its stated outcomes?","■      An updated, completed and agreed evaluation plan to assess its stated outcomes is in place.
■      The project has consulted with stakeholders about evaluation and their acceptance of the proposed approach is documented. Including the consequences if they are delivering less than was initially built into the case.",GATE_4
2.4,Economic,Is there a process to manage and measure benefits?,"■      A benefits management plan is in place, linked to programme outcomes where applicable.
■      Means of measuring benefits agreed with service providers/partners.
■      For collaborative projects, all parties understand and agree their responsibilities and arrangements for benefits realisation.
■      The SRO has identified the business owner for the operational service, where applicable.
All changes should be clearly understood and signed off.
■      The SRO has identified and agreed the critical success factors with the business owner.
■      Handover responsibilities and arrangements documented and agreed by both parties.
■      The project should demonstrate that there is a clear, resourced structure in place to measure benefits and governance around benefits management.
■      The project should demonstrate that the benefits strategy, financial and non-financial benefits have been approved by the impacted business areas.
■      Financial benefits should be defined as either cashable or non-cashable.
■      Cashable benefits should be allocated to business units, and scheduled to come off of their budgets in financial forecasts when the benefits are due.",GATE_4
,,,"■      The project should ensure:
■      Benefits are clearly stated. They should consider tangible/intangible and cashable/non-cashable.
May be appropriate to consider disbenefits as well.
■      There is a detailed plan for the evaluation and realisation of benefits.
■      Benefits are Specific, Measurable, Agreed, Realistic and Timely (SMART).
■      Benefits calculations include the potential impact of macroeconomic factors that could impact them during delivery and operational life cycle.
■      There is an internally approved FBC management case that sets out the high level benefits realisation approach.
■      The benefits realisation plan is approved and agreed with stakeholders (including wider government, clients and suppliers) who
are still supportive of the projects Critical Success Factors.
■      Assumptions that underpin benefit realisation are documented, agreed with the relevant parties and signed off.",GATE_4
2.5,Economic,Are the benefits management activities supported and driven by real information? Are they integrated into other project management activities as much as possible?,"■      Benefits are defined and benchmarked.
■      Benefits are SMART.
■      Benefits are aligned to Government Major Project Portfolio (GMPP) categories.
■      There are clear, resourced structures in place to measure benefits and governance around benefits management.",GATE_4
2.6,Economic,Has the project conducted business justification to confirm benefits can be realised and that risks can be managed within the organisation’s risk appetite?,"■      Benefits and risks are regularly reviewed with the appropriate Governance forums.
■      Unjustified work is terminated.",GATE_4
3.1,Commercial,"Have any changes to the contract been previously forecast, accurately recorded and approved?",■      Issues and ongoing costs relating to maintenance (of buildings and/or IT infrastructure and applications as appropriate) monitored against expectations and addressed.,GATE_4
3.2,Commercial,Is the long-term contract management process in place?,"■      Evidence the project teams have suitable qualified personnel managing the contract. Subsequently, be able to provide evidence that they are managing the contract effectively and efficiently utilising the contractual levers to guarantee the department is maximising the potential of the contract.
■      Evidence of the value of the partnership and how the partnership will work long term.
■      The project should demonstrate:
■      That contract management arrangements are fully in place, and catered for in both the supplier contract(s) and the live service operating model.
■      The supplier contract(s) have been awarded.
■      The supplier contracts have been executed.
■      That unsuccessful suppliers have been correctly notified.
■      That executed contracts have been uploaded onto contract finder.
■      That suppliers have been on boarded and are delivering against the contract.
■      That a robust contract management process is in place and suppliers are being managed against SLAs.
■      The supplier is delivering in line with contracted deliverables to the desired level of quality and to time.
■      That suitable qualified personnel are managing the contract effectively and efficiently. Utilising the contractual levers to guarantee the department is maximising the potential of the contract.
■      The client side team (intelligent customer) is fully established, supporting project delivery and ready to receive the service from the project team.■ The contract management and live service
arrangements should include:
■ Arrangements for managing single/
multiple suppliers.
■ Where multiple suppliers are appointed
detailed processes are in place to manage
the interfaces.
■ A contract in place to support the
equipment, asset or service (operations
and maintenance) with appropriate
KPIs to provide through life support to
the capability.",GATE_4
3.3,Commercial,Is the organisation ready to manage the contract in the operational environment?,"■      A bottom up person power plan with corresponding assumptions should be in place.
■      Evidence the commercial team is in place to manage the operational environment with appropriate capacity/capability.",GATE_4
3.4,Commercial,What operational performance and contract management system will be employed as the asset goes into service?,"■      Evaluation of available systems and input (including sign off) from the SRO and appropriate governance received.
■      Evidence of performance indicators.",GATE_4
3.5,Commercial,Has the supplier performance and quality been monitored and accepted after verification against the contractual requirements?,"■      A contract management system and process is in place.
■      The suppliers performance is monitored frequently and progress updates on KPIs are shared between parties.",GATE_4
